Peer_IP,Validated_Time
188.72.203.154,1591057255.883
163.172.222.30,1591058171.017
18.224.34.216,1591058312.866
193.70.38.148,1591058616.074
208.68.38.242,1591059093.360
3.23.112.242,1591059216.376
195.177.251.17,1591059234.026
193.70.38.148,1591059274.977
193.70.38.148,1591060016.797
193.70.38.148,1591060573.819
163.172.222.30,1591061152.013
193.70.38.148,1591061187.712
159.69.57.170,1591061425.623
66.70.180.144,1591061501.665
37.235.48.220,1591061678.301
163.172.222.30,1591061728.509
193.70.38.148,1591062100.374
193.70.38.148,1591062767.990
18.191.160.176,1591062995.555
213.183.54.81,1591063017.733
50.67.175.2,1591063062.101
13.244.102.241,1591063113.041
193.70.38.148,1591063454.888
51.68.5.144,1591063652.662
109.233.109.26,1591063737.926
163.172.222.30,1591063844.022
193.70.38.148,1591064208.151
134.122.96.128,1591064345.994
193.70.38.148,1591064904.674
118.24.175.14,1591065065.717
50.67.175.2,1591065271.723
193.70.38.148,1591065506.671
47.93.17.158,1591065642.251
193.70.38.148,1591066265.326
159.69.57.170,1591066525.815
